#Dataset: HATPRO UIBK Humidity - RAW
rawdate;v01;v02;v03;v04;v05;v06;v07;v08;v09;v10;v11;v12;v13;v14;v15;v16;v17;v18;v19;v20;v21;v22;v23;v24;v25;v26;v27;v28;v29;v30;v31;v32;v33;v34;v35;v36;v37;v38;v39
2019-05-23 06:50:00;7.27;7.19;7.09;7.03;6.97;6.90;6.84;6.77;6.65;6.54;6.40;6.26;6.12;6.00;5.89;5.77;5.61;5.43;5.25;4.99;4.71;4.44;4.16;3.76;3.39;3.06;2.60;2.13;1.72;1.32;1.01;0.71;0.51;0.35;0.24;0.14;0.06;0.03;0.01
2019-05-23 07:00:00;7.19;7.11;7.01;6.96;6.89;6.83;6.77;6.70;6.58;6.47;6.33;6.19;6.06;5.94;5.82;5.71;5.55;5.37;5.20;4.94;4.67;4.40;4.12;3.73;3.36;3.04;2.58;2.12;1.72;1.32;1.01;0.72;0.51;0.35;0.24;0.14;0.06;0.03;0.01
2019-05-23 07:10:00;7.11;7.03;6.93;6.88;6.81;6.75;6.69;6.62;6.50;6.39;6.25;6.12;5.98;5.86;5.75;5.64;5.48;5.30;5.13;4.87;4.61;4.34;4.07;3.68;3.32;3.00;2.56;2.11;1.71;1.32;1.02;0.73;0.52;0.36;0.24;0.14;0.06;0.03;0.01
2019-05-23 07:20:00;7.05;6.97;6.87;6.82;6.75;6.69;6.63;6.57;6.45;6.34;6.20;6.06;5.93;5.81;5.70;5.59;5.43;5.26;5.08;4.83;4.56;4.30;4.02;3.64;3.28;2.97;2.52;2.08;1.68;1.30;0.99;0.71;0.51;0.35;0.24;0.13;0.06;0.03;0.01
2019-05-23 07:30:00;7.05;6.97;6.87;6.81;6.75;6.69;6.63;6.56;6.44;6.34;6.19;6.06;5.93;5.81;5.70;5.58;5.43;5.26;5.08;4.82;4.56;4.29;4.02;3.64;3.28;2.96;2.51;2.07;1.67;1.29;0.99;0.70;0.50;0.34;0.23;0.13;0.06;0.03;0.01
2019-05-23 07:40:00;6.99;6.92;6.82;6.76;6.70;6.64;6.58;6.51;6.40;6.29;6.15;6.02;5.88;5.76;5.65;5.54;5.39;5.21;5.04;4.79;4.52;4.26;3.98;3.60;3.24;2.93;2.48;2.04;1.64;1.26;0.97;0.69;0.49;0.33;0.23;0.13;0.06;0.03;0.01
2019-05-23 07:50:00;6.97;6.89;6.79;6.74;6.68;6.62;6.55;6.49;6.37;6.27;6.13;5.99;5.86;5.74;5.63;5.52;5.37;5.19;5.02;4.77;4.51;4.24;3.97;3.59;3.23;2.92;2.48;2.03;1.64;1.26;0.97;0.69;0.49;0.33;0.23;0.13;0.06;0.03;0.01
2019-05-23 08:00:00;6.91;6.83;6.73;6.67;6.61;6.55;6.49;6.42;6.31;6.20;6.06;5.93;5.80;5.68;5.57;5.46;5.31;5.14;4.97;4.72;4.46;4.20;3.93;3.56;3.21;2.90;2.46;2.03;1.64;1.27;0.97;0.69;0.50;0.34;0.23;0.13;0.06;0.03;0.01
2019-05-23 08:10:00;6.95;6.87;6.77;6.72;6.66;6.59;6.53;6.47;6.35;6.24;6.10;5.97;5.84;5.72;5.61;5.50;5.35;5.18;5.01;4.75;4.49;4.23;3.96;3.59;3.23;2.92;2.48;2.04;1.65;1.27;0.97;0.69;0.50;0.34;0.23;0.13;0.06;0.03;0.01
2019-05-23 08:20:00;6.87;6.79;6.69;6.63;6.57;6.51;6.45;6.38;6.27;6.16;6.02;5.89;5.76;5.64;5.53;5.42;5.28;5.11;4.94;4.69;4.43;4.18;3.91;3.55;3.20;2.90;2.47;2.04;1.66;1.29;0.99;0.71;0.51;0.35;0.24;0.13;0.06;0.03;0.01
2019-05-23 08:30:00;6.89;6.80;6.70;6.65;6.59;6.53;6.46;6.40;6.28;6.18;6.04;5.91;5.77;5.66;5.55;5.44;5.29;5.12;4.95;4.70;4.45;4.19;3.92;3.55;3.21;2.90;2.47;2.04;1.65;1.28;0.99;0.71;0.51;0.34;0.23;0.13;0.06;0.03;0.01
2019-05-23 08:40:00;6.87;6.79;6.69;6.64;6.58;6.52;6.46;6.39;6.28;6.17;6.03;5.90;5.77;5.65;5.54;5.43;5.28;5.11;4.94;4.69;4.43;4.18;3.92;3.55;3.21;2.92;2.49;2.07;1.69;1.31;1.01;0.73;0.52;0.36;0.24;0.14;0.06;0.03;0.01
2019-05-23 08:50:00;6.95;6.87;6.77;6.72;6.65;6.59;6.53;6.47;6.35;6.24;6.10;5.97;5.83;5.72;5.61;5.49;5.34;5.17;5.00;4.75;4.49;4.23;3.97;3.60;3.25;2.94;2.51;2.08;1.69;1.31;1.01;0.72;0.52;0.35;0.24;0.13;0.06;0.03;0.01
2019-05-23 09:00:00;6.87;6.79;6.69;6.64;6.57;6.51;6.45;6.38;6.27;6.16;6.02;5.89;5.76;5.64;5.53;5.42;5.28;5.11;4.94;4.69;4.44;4.18;3.92;3.55;3.21;2.91;2.48;2.06;1.67;1.30;1.00;0.72;0.52;0.35;0.24;0.13;0.06;0.03;0.01
2019-05-23 09:10:00;6.73;6.64;6.54;6.49;6.43;6.36;6.30;6.24;6.12;6.01;5.88;5.75;5.62;5.51;5.40;5.29;5.15;4.98;4.82;4.58;4.33;4.09;3.84;3.48;3.16;2.87;2.46;2.06;1.69;1.32;1.03;0.75;0.54;0.37;0.25;0.14;0.06;0.03;0.01
2019-05-23 09:20:00;6.79;6.71;6.61;6.56;6.50;6.43;6.37;6.31;6.19;6.08;5.95;5.82;5.69;5.57;5.46;5.36;5.21;5.04;4.88;4.63;4.38;4.13;3.88;3.52;3.18;2.89;2.47;2.05;1.67;1.30;1.01;0.73;0.52;0.35;0.24;0.13;0.06;0.03;0.01
2019-05-23 09:30:00;6.88;6.80;6.70;6.65;6.59;6.52;6.46;6.40;6.28;6.17;6.03;5.90;5.77;5.65;5.54;5.43;5.28;5.11;4.95;4.70;4.44;4.19;3.93;3.57;3.24;2.94;2.52;2.10;1.72;1.34;1.04;0.75;0.53;0.36;0.25;0.14;0.06;0.03;0.01
2019-05-23 09:40:00;6.74;6.66;6.56;6.51;6.45;6.39;6.33;6.27;6.16;6.05;5.91;5.78;5.65;5.53;5.42;5.31;5.16;5.00;4.83;4.58;4.33;4.08;3.83;3.49;3.16;2.88;2.47;2.06;1.69;1.32;1.03;0.74;0.53;0.36;0.24;0.14;0.06;0.03;0.01
2019-05-23 09:50:00;6.85;6.77;6.68;6.63;6.57;6.51;6.44;6.38;6.27;6.16;6.02;5.89;5.76;5.64;5.53;5.41;5.26;5.09;4.92;4.67;4.42;4.17;3.91;3.55;3.22;2.92;2.50;2.08;1.70;1.32;1.02;0.73;0.52;0.36;0.24;0.13;0.06;0.03;0.01
2019-05-23 10:00:00;6.70;6.63;6.54;6.49;6.44;6.38;6.32;6.26;6.15;6.04;5.90;5.77;5.64;5.52;5.41;5.29;5.14;4.97;4.80;4.55;4.30;4.05;3.81;3.46;3.14;2.86;2.45;2.05;1.69;1.32;1.02;0.74;0.52;0.35;0.24;0.13;0.06;0.02;0.01
2019-05-23 10:10:00;6.36;6.28;6.18;6.13;6.07;6.01;5.95;5.89;5.78;5.68;5.55;5.42;5.30;5.19;5.08;4.98;4.84;4.69;4.53;4.30;4.06;3.83;3.59;3.26;2.96;2.69;2.31;1.94;1.59;1.25;0.97;0.71;0.51;0.35;0.23;0.13;0.06;0.02;0.01
2019-05-23 10:20:00;6.01;5.93;5.84;5.79;5.73;5.67;5.62;5.56;5.45;5.35;5.23;5.11;4.99;4.88;4.78;4.68;4.56;4.40;4.26;4.04;3.81;3.59;3.37;3.05;2.78;2.53;2.18;1.84;1.52;1.20;0.95;0.70;0.51;0.34;0.23;0.13;0.06;0.02;0.01
2019-05-23 10:30:00;6.25;6.17;6.07;6.02;5.97;5.91;5.85;5.79;5.68;5.57;5.45;5.32;5.20;5.09;4.99;4.89;4.76;4.60;4.45;4.22;3.99;3.76;3.52;3.20;2.90;2.64;2.26;1.90;1.56;1.23;0.96;0.70;0.51;0.34;0.23;0.13;0.06;0.02;0.01
2019-05-23 10:40:00;6.25;6.17;6.08;6.03;5.97;5.91;5.85;5.79;5.68;5.58;5.45;5.33;5.21;5.10;5.00;4.89;4.76;4.60;4.45;4.22;3.99;3.76;3.53;3.20;2.90;2.64;2.27;1.90;1.56;1.22;0.95;0.70;0.50;0.34;0.23;0.13;0.06;0.02;0.01
2019-05-23 10:50:00;6.26;6.18;6.08;6.04;5.98;5.92;5.86;5.80;5.69;5.59;5.46;5.33;5.21;5.10;5.00;4.90;4.77;4.61;4.46;4.23;4.00;3.77;3.53;3.21;2.91;2.64;2.26;1.90;1.56;1.22;0.95;0.69;0.50;0.34;0.23;0.13;0.06;0.02;0.01
2019-05-23 11:00:00;6.30;6.22;6.13;6.08;6.02;5.96;5.91;5.85;5.74;5.64;5.51;5.38;5.26;5.15;5.04;4.94;4.80;4.65;4.49;4.26;4.02;3.79;3.56;3.23;2.93;2.67;2.29;1.92;1.57;1.23;0.95;0.70;0.50;0.34;0.23;0.13;0.06;0.02;0.01
2019-05-23 11:10:00;6.50;6.42;6.33;6.29;6.23;6.17;6.11;6.05;5.94;5.84;5.71;5.58;5.45;5.34;5.23;5.12;4.98;4.81;4.65;4.41;4.17;3.93;3.69;3.35;3.04;2.76;2.36;1.97;1.62;1.25;0.97;0.70;0.50;0.34;0.23;0.13;0.06;0.02;0.01
2019-05-23 11:20:00;6.42;6.35;6.27;6.23;6.18;6.12;6.06;6.01;5.90;5.80;5.67;5.54;5.41;5.29;5.18;5.07;4.92;4.75;4.59;4.34;4.10;3.86;3.63;3.31;3.02;2.75;2.36;1.99;1.64;1.28;0.99;0.72;0.50;0.34;0.23;0.12;0.06;0.02;0.01
2019-05-23 11:30:00;6.32;6.25;6.16;6.12;6.06;6.00;5.95;5.89;5.78;5.68;5.55;5.42;5.30;5.18;5.08;4.97;4.83;4.67;4.51;4.27;4.04;3.80;3.57;3.25;2.95;2.69;2.31;1.94;1.60;1.25;0.97;0.70;0.50;0.34;0.23;0.12;0.06;0.02;0.01
2019-05-23 11:40:00;6.19;6.11;6.02;5.97;5.91;5.85;5.80;5.74;5.63;5.53;5.40;5.28;5.16;5.05;4.95;4.84;4.71;4.56;4.41;4.18;3.95;3.72;3.49;3.17;2.88;2.62;2.25;1.89;1.55;1.21;0.94;0.69;0.49;0.33;0.23;0.12;0.06;0.02;0.01
2019-05-23 11:50:00;6.02;5.93;5.84;5.79;5.73;5.68;5.62;5.56;5.45;5.35;5.23;5.11;4.99;4.88;4.78;4.68;4.56;4.41;4.26;4.05;3.83;3.60;3.38;3.08;2.80;2.56;2.21;1.87;1.54;1.22;0.96;0.71;0.51;0.34;0.23;0.13;0.06;0.02;0.01
2019-05-23 12:00:00;6.06;5.98;5.89;5.84;5.78;5.72;5.66;5.61;5.50;5.40;5.27;5.15;5.03;4.92;4.83;4.73;4.60;4.45;4.30;4.08;3.86;3.64;3.42;3.11;2.83;2.58;2.22;1.88;1.55;1.22;0.96;0.71;0.51;0.34;0.23;0.13;0.06;0.02;0.01
2019-05-23 12:10:00;6.21;6.13;6.03;5.98;5.92;5.86;5.81;5.75;5.64;5.53;5.41;5.28;5.16;5.05;4.95;4.85;4.72;4.57;4.42;4.20;3.97;3.74;3.51;3.20;2.90;2.65;2.28;1.92;1.58;1.24;0.97;0.71;0.51;0.34;0.23;0.13;0.06;0.02;0.01
2019-05-23 12:20:00;6.15;6.07;5.97;5.92;5.86;5.80;5.75;5.69;5.58;5.47;5.35;5.22;5.10;5.00;4.90;4.80;4.67;4.52;4.37;4.15;3.93;3.70;3.47;3.16;2.87;2.62;2.26;1.91;1.58;1.24;0.97;0.72;0.52;0.35;0.24;0.13;0.06;0.02;0.01
2019-05-23 12:30:00;6.03;5.95;5.86;5.81;5.75;5.69;5.63;5.58;5.47;5.37;5.24;5.12;5.00;4.90;4.80;4.70;4.57;4.42;4.28;4.06;3.84;3.62;3.40;3.09;2.81;2.57;2.21;1.87;1.55;1.22;0.95;0.71;0.51;0.34;0.23;0.13;0.06;0.02;0.01
2019-05-23 12:40:00;5.95;5.86;5.77;5.72;5.66;5.61;5.55;5.49;5.38;5.28;5.16;5.04;4.92;4.82;4.72;4.62;4.50;4.35;4.21;3.99;3.78;3.56;3.34;3.04;2.77;2.53;2.19;1.86;1.54;1.22;0.95;0.71;0.51;0.34;0.23;0.13;0.06;0.02;0.01
