#Dataset: HATPRO UIBK Temperature - RAW
rawdate;v01;v02;v03;v04;v05;v06;v07;v08;v09;v10;v11;v12;v13;v14;v15;v16;v17;v18;v19;v20;v21;v22;v23;v24;v25;v26;v27;v28;v29;v30;v31;v32;v33;v34;v35;v36;v37;v38;v39
2019-05-23 09:50:00;288.99;288.98;288.86;288.69;288.42;288.17;287.93;287.68;287.21;286.62;285.77;284.95;284.24;283.48;282.82;282.24;281.45;280.65;279.90;278.96;277.98;276.95;275.89;274.63;273.50;272.22;270.71;269.20;267.84;266.36;264.16;261.20;257.13;252.86;248.40;242.43;234.74;227.16;221.71
2019-05-23 10:00:00;289.26;289.22;289.08;288.87;288.58;288.28;288.01;287.73;287.19;286.60;285.75;284.97;284.22;283.44;282.78;282.20;281.42;280.62;279.82;278.82;277.83;276.79;275.80;274.61;273.59;272.42;270.82;269.28;267.98;266.41;264.27;261.46;257.52;253.28;248.75;242.73;235.02;227.56;222.55
2019-05-23 10:10:00;289.54;289.51;289.35;289.15;288.87;288.62;288.40;288.16;287.68;287.11;286.19;285.27;284.42;283.59;282.83;282.19;281.33;280.49;279.70;278.65;277.59;276.55;275.49;274.28;273.29;272.16;270.76;269.36;268.38;266.93;264.81;262.04;258.10;253.83;249.48;243.62;235.87;228.15;222.47
2019-05-23 10:20:00;289.89;289.83;289.61;289.35;289.00;288.68;288.42;288.17;287.69;287.13;286.29;285.54;284.85;284.07;283.43;282.87;282.07;281.27;280.47;279.49;278.51;277.50;276.48;275.28;274.29;273.18;271.77;270.19;268.87;267.35;265.07;262.22;258.31;254.07;249.57;243.66;235.81;227.84;222.13
2019-05-23 10:30:00;289.78;289.76;289.65;289.46;289.19;288.91;288.68;288.43;287.93;287.36;286.50;285.73;284.95;284.13;283.41;282.79;281.91;281.08;280.22;279.16;278.14;277.06;275.98;274.80;273.83;272.68;271.19;269.73;268.50;267.05;264.93;262.09;257.99;253.77;249.24;243.21;235.47;227.75;222.32
2019-05-23 10:40:00;290.08;290.09;290.03;289.91;289.69;289.46;289.22;288.97;288.45;287.81;286.80;285.86;285.05;284.17;283.40;282.78;281.97;281.17;280.33;279.28;278.19;277.14;276.14;275.01;273.99;272.72;271.23;269.83;268.62;267.21;265.05;262.21;258.31;254.08;249.72;243.78;235.97;228.03;222.13
2019-05-23 10:50:00;290.17;290.17;290.10;289.95;289.68;289.42;289.19;288.94;288.46;287.86;286.93;286.03;285.18;284.33;283.65;283.05;282.28;281.45;280.62;279.60;278.64;277.55;276.55;275.37;274.43;273.21;271.72;270.10;268.66;267.12;264.96;261.95;257.97;253.73;249.16;242.95;234.91;226.94;221.60
2019-05-23 11:00:00;290.75;290.72;290.58;290.38;290.08;289.80;289.56;289.33;288.88;288.29;287.43;286.60;285.83;284.98;284.25;283.59;282.67;281.75;280.91;279.91;278.87;277.69;276.54;275.25;274.19;272.99;271.48;269.88;268.55;267.13;264.91;261.97;257.87;253.64;249.16;243.06;235.18;227.33;221.70
2019-05-23 11:10:00;291.30;291.25;291.03;290.77;290.42;290.09;289.79;289.50;288.94;288.33;287.43;286.57;285.82;285.03;284.33;283.71;282.88;281.99;281.12;280.02;278.93;277.82;276.75;275.50;274.36;273.07;271.35;269.63;268.25;266.73;264.61;261.75;257.66;253.31;248.96;242.92;235.17;227.36;221.92
2019-05-23 11:20:00;291.65;291.57;291.31;291.00;290.60;290.24;289.93;289.64;289.06;288.41;287.53;286.69;285.85;284.98;284.28;283.68;282.73;281.84;281.01;279.97;278.86;277.66;276.44;275.02;273.89;272.86;271.39;269.78;268.57;267.14;264.90;262.20;258.29;254.10;249.49;243.54;235.77;228.25;223.42
2019-05-23 11:30:00;291.21;291.17;291.01;290.82;290.53;290.25;290.01;289.78;289.28;288.67;287.72;286.82;285.99;285.09;284.32;283.68;282.78;281.85;280.98;279.86;278.73;277.60;276.47;275.24;274.17;272.94;271.34;269.78;268.40;267.02;264.78;261.96;257.85;253.71;249.22;243.14;235.39;227.76;222.26
2019-05-23 11:40:00;291.24;291.21;291.08;290.89;290.61;290.35;290.13;289.88;289.41;288.81;287.92;287.09;286.26;285.36;284.59;283.92;282.99;282.09;281.20;280.16;279.08;277.88;276.76;275.51;274.54;273.40;272.01;270.44;269.05;267.61;265.43;262.56;258.49;254.32;249.82;243.80;235.99;228.03;222.47
2019-05-23 11:50:00;291.43;291.41;291.28;291.11;290.83;290.56;290.33;290.09;289.60;288.99;288.06;287.17;286.36;285.43;284.69;284.07;283.22;282.35;281.49;280.44;279.35;278.20;277.16;275.87;274.89;273.74;272.25;270.67;269.29;267.84;265.58;262.63;258.62;254.46;249.92;243.85;235.85;227.70;221.91
2019-05-23 12:00:00;291.47;291.47;291.39;291.24;290.98;290.75;290.54;290.31;289.85;289.26;288.40;287.54;286.71;285.80;285.05;284.40;283.44;282.53;281.67;280.60;279.46;278.19;277.01;275.60;274.47;273.33;271.92;270.30;268.89;267.45;265.06;262.08;257.93;253.72;249.04;242.96;235.05;227.05;221.45
2019-05-23 12:10:00;292.20;292.16;291.96;291.67;291.31;291.00;290.73;290.46;289.93;289.35;288.49;287.65;286.87;286.09;285.35;284.70;283.80;282.92;282.03;280.86;279.64;278.46;277.20;275.77;274.57;273.43;271.80;270.15;268.93;267.30;265.07;262.24;258.24;253.90;249.27;243.29;235.40;227.42;221.52
2019-05-23 12:20:00;292.14;292.09;291.93;291.72;291.38;291.07;290.81;290.56;290.03;289.39;288.51;287.72;286.97;286.05;285.36;284.82;283.87;282.97;282.09;281.02;279.90;278.67;277.50;276.10;275.01;273.99;272.55;270.86;269.45;268.07;265.50;262.58;258.43;254.15;249.29;243.32;235.26;227.11;221.60
2019-05-23 12:30:00;292.30;292.30;292.21;292.02;291.72;291.41;291.13;290.85;290.28;289.63;288.63;287.71;286.89;286.02;285.28;284.66;283.77;282.88;282.01;280.88;279.76;278.57;277.41;276.07;274.94;273.76;272.11;270.51;269.19;267.76;265.58;262.78;258.71;254.34;249.79;243.68;235.72;227.60;221.54
2019-05-23 12:40:00;292.46;292.42;292.24;291.98;291.60;291.27;290.98;290.70;290.16;289.53;288.60;287.71;286.90;286.06;285.32;284.70;283.79;282.85;281.95;280.82;279.69;278.51;277.33;275.98;274.81;273.63;272.12;270.47;269.12;267.66;265.39;262.56;258.59;254.34;249.67;243.53;235.63;227.50;221.64
2019-05-23 12:50:00;292.33;292.29;292.16;291.97;291.67;291.40;291.16;290.90;290.39;289.77;288.90;288.11;287.35;286.45;285.73;285.14;284.24;283.35;282.49;281.41;280.38;279.22;278.13;276.82;275.81;274.69;273.15;271.41;269.91;268.38;265.87;262.87;258.70;254.58;249.91;243.69;235.68;227.48;221.68
2019-05-23 13:00:00;292.59;292.61;292.55;292.39;292.16;291.92;291.72;291.49;291.03;290.43;289.51;288.60;287.78;286.90;286.10;285.44;284.52;283.61;282.74;281.55;280.32;279.12;277.85;276.46;275.29;274.01;272.36;270.70;269.42;267.85;265.57;262.51;258.37;254.19;249.71;243.60;235.58;227.41;221.37
